icao,name,type,country_iso2,iata_code,lat,lon,country_name,route_connections,nearby_population_25km,local_density_proxy_pop_per_km2
EBBR,Brussels Airport,large_airport,BE,BRU,50.901402,4.48444,Belgium,631.0,3379876.0,1721.3567118005212
EBCI,Brussels South Charleroi Airport,large_airport,BE,CRL,50.461963,4.459562,Belgium,168.0,1083898.0,552.0247184237413
EBOS,Ostend-Bruges International Airport,large_airport,BE,OST,51.1998,2.874673,Belgium,2.0,519415.0,264.53588725144584
EDDB,Berlin Brandenburg Airport,large_airport,DE,BER,52.361738,13.502341,Germany,0.0,6916244.0,3522.4141447349202
EDDC,Dresden Airport,large_airport,DE,DRS,51.134123,13.767831,Germany,44.0,1071542.0,545.7318592978423
EDDE,Erfurt-Weimar Airport,large_airport,DE,ERF,50.978281,10.960713,Germany,12.0,319847.0,162.89673946596304
EDDF,Frankfurt Main Airport,large_airport,DE,FRA,50.026706,8.55835,Germany,990.0,2757569.0,1404.418359254319
EDDG,Münster Osnabrück Airport,large_airport,DE,FMO,52.133816,7.688482,Germany,22.0,736014.0,374.8488521114824
EDDH,Hamburg Helmut Schmidt Airport,large_airport,DE,HAM,53.630402,9.98823,Germany,321.0,5755324.0,2931.162443825342
EDDK,Cologne Bonn Airport,large_airport,DE,CGN,50.865898,7.14274,Germany,265.0,3173686.0,1616.345007108944
EDDL,Düsseldorf Airport,large_airport,DE,DUS,51.289501,6.76678,Germany,570.0,3203337.0,1631.4461374053208
EDDM,Munich Airport,large_airport,DE,MUC,48.353802,11.7861,Germany,728.0,293424.0,149.43961606974815
EDDN,Nuremberg Airport,large_airport,DE,NUE,49.498699,11.078056,Germany,95.0,1098004.0,559.208845230955
EDDP,Leipzig/Halle Airport,large_airport,DE,LEJ,51.420657,12.232705,Germany,79.0,1051142.0,535.3422246128033
EDDS,Stuttgart Airport,large_airport,DE,STR,48.689899,9.22196,Germany,273.0,2198925.0,1119.903306362707
EDDV,Hannover Airport,large_airport,DE,HAJ,52.461102,9.68508,Germany,152.0,1472328.0,749.850492968333
EDDW,Bremen Airport,large_airport,DE,BRE,53.046786,8.78932,Germany,100.0,975479.0,496.8073751434847
EDFH,Frankfurt-Hahn Airport,large_airport,DE,HHN,49.946353,7.261734,Germany,94.0,51288.0,26.12076390815081
EDJA,Memmingen Allgau Airport,large_airport,DE,FMM,47.988092,10.238248,Germany,46.0,124424.0,63.36862284565115
EDLP,Paderborn Lippstadt Airport,large_airport,DE,PAD,51.612527,8.617459,Germany,22.0,448705.0,228.52357996815647
