name,country_iso2,lat,lon,population
Döbling,AT,48.25,16.33333,75418
Neu-Guntramsdorf,AT,48.0642,16.31573,9071
Zirl,AT,47.2741,11.23961,8162
Zell am See,AT,47.32306,12.79839,7619
Wörgl,AT,47.48906,12.06174,13811
Wolfurt,AT,47.46667,9.75,8446
Wolfsberg,AT,46.84056,14.84417,25035
Wölfnitz,AT,46.66639,14.25806,5316
Wimpassing,AT,48.16667,13.98333,5748
Wilten,AT,47.25829,11.38808,18142
Wilhelmsburg,AT,48.10571,15.60539,6557
Wiener Neustadt,AT,47.80485,16.23196,44820
Wiener Neudorf,AT,48.08278,16.31384,9405
Vienna,AT,48.20849,16.37208,1691468
Wetzelsdorf,AT,47.05293,15.39923,15687
Wels,AT,48.16667,14.03333,16857
Weiz,AT,47.21667,15.61667,9221
Wattens,AT,47.29419,11.5907,7881
Waltendorf,AT,47.06667,15.46667,11960
Vösendorf,AT,48.12107,16.34036,6990
Vorchdorf,AT,48.00388,13.92122,7475
Völs,AT,47.25,11.33333,6738
Völkendorf,AT,46.60806,13.83153,5474
Voitsberg,AT,47.04445,15.15313,9403
Villach,AT,46.61028,13.85583,58882
Viktring,AT,46.59194,14.26917,9407
Tulln,AT,48.32829,16.05858,12421
Trofaiach,AT,47.42524,15.00681,7728
Traun,AT,48.22086,14.23833,25345
Traiskirchen,AT,48.01485,16.29324,6608
Ternitz,AT,47.71565,16.03575,7378
Telfs,AT,47.30707,11.06817,15229
Strasshof an der Nordbahn,AT,48.31667,16.66667,10009
Straßgang,AT,47.03333,15.4,16268
Stockerau,AT,48.38333,16.21667,16292
Steyr,AT,48.04274,14.42127,38331
Spratzern,AT,48.17044,15.61844,6376
Spittal an der Drau,AT,46.8,13.5,12880
Sollenau,AT,47.89834,16.24833,5038
Hall in Tirol,AT,47.28333,11.51667,13334
Simmering,AT,48.18333,16.43333,101420
Seiersberg,AT,47.0,15.4,7728
Schwechat,AT,48.13333,16.46667,12351
Schwaz,AT,47.35169,11.71014,13728
Schärding,AT,48.45294,13.43722,5253
Sankt Veit an der Glan,AT,46.76806,14.36028,10841
Sankt Valentin,AT,48.16667,14.51667,9340
Sankt Ruprecht,AT,46.6,14.31667,7442
Sankt Pölten,AT,48.20762,15.63725,21911
Sankt Peter,AT,47.05,15.46667,15187
Sankt Peter,AT,46.62978,14.34016,20320
Sankt Martin,AT,46.61667,14.28333,20000
Sankt Martin,AT,48.23091,14.26781,6984
Sankt Johann in Tirol,AT,47.5233,12.4232,9428
Salzburg,AT,47.79941,13.04399,157245
Saalfelden am Steinernen Meer,AT,47.42681,12.848,16790
Rum,AT,47.28333,11.45,9190
Ries,AT,47.08315,15.485,5819
Ried im Innkreis,AT,48.21123,13.48855,11903
Reutte,AT,47.48333,10.71667,6704
Rankweil,AT,47.27108,9.64308,11855
Purkersdorf,AT,48.20769,16.17539,9701
Puntigam,AT,47.03333,15.43333,8647
Pressbaum,AT,48.18333,16.08333,6237
Pradl,AT,47.26539,11.4152,32588
Pöllau,AT,47.3,15.83333,6014
Pinkafeld,AT,47.3709,16.1241,5438
Perg,AT,48.25,14.63333,5812
Perchtoldsdorf,AT,48.11935,16.26607,15047
Ottakring,AT,48.21667,16.3,104627
Oberwart,AT,47.28971,16.20595,7288
Oberndorf bei Salzburg,AT,47.93911,12.95108,5794
Neuzeug,AT,48.05,14.33333,5346
Neusiedl am See,AT,47.94901,16.8417,8235
Neunkirchen,AT,47.72096,16.08107,11461
Neuhofen an der Krems,AT,48.13866,14.22764,6269
Mürzzuschlag,AT,47.6066,15.67226,5975
Mühlau,AT,47.28333,11.4,5435
Mödling,AT,48.08605,16.28921,20555
Mistelbach,AT,48.57,16.57667,6463
Micheldorf in Oberösterreich,AT,47.87764,14.13357,5854
Meidling,AT,48.16667,16.33333,97624
Mattighofen,AT,48.10732,13.15081,6524
Mattersburg,AT,47.73333,16.4,7349
Mariatrost,AT,47.09641,15.46537,9631
Maria Enzersdorf,AT,48.1,16.28333,8829
Marchtrenk,AT,48.19022,14.10908,8394
Lustenau,AT,47.42642,9.65851,22821
Lochau,AT,47.53333,9.75,5747
Linz,AT,48.30639,14.28611,204846
Liezen,AT,47.56667,14.23333,6587
Lienz,AT,46.8289,12.76903,11572
Liebenau,AT,47.03333,15.46667,14447
Lichtenegg,AT,48.15,14.0,6163
Leopoldsdorf,AT,48.11557,16.39126,5078
Leoben,AT,47.3765,15.09144,8264
Leibnitz,AT,46.78161,15.53836,8533
Lauterach,AT,47.47572,9.72941,10267
Langenzersdorf,AT,48.30432,16.36143,8137
Landeck,AT,47.13988,10.56593,7725
Laakirchen,AT,47.98188,13.82166,9861
Kufstein,AT,47.58333,12.16667,9848
Kremsmünster,AT,48.0529,14.12919,6585
Krems an der Donau,AT,48.40921,15.61415,14473
Kottingbrunn,AT,47.95096,16.22715,7417
Korneuburg,AT,48.35,16.33333,12986
Knittelfeld,AT,47.21667,14.81667,11521
Klosterneuburg,AT,48.30521,16.32522,15614
Klagenfurt am Wörthersee,AT,46.62472,14.30528,100316
Kitzbühel,AT,47.44637,12.39215,8272
Kirchberg in Tirol,AT,47.44539,12.31602,5245
Kindberg,AT,47.5,15.45,5197
Kalsdorf bei Graz,AT,46.96528,15.48028,5171
Judendorf,AT,47.4,15.1,5475
Judenburg,AT,47.16667,14.66667,8481
Jenbach,AT,47.39173,11.77245,7120
Innsbruck,AT,47.26266,11.39454,132493
Innere Stadt,AT,48.20906,16.37135,16450
Imst,AT,47.24504,10.73974,10504
Penzing,AT,48.2,16.26667,98176
Hötting,AT,47.26815,11.36868,35043
Horn,AT,48.66274,15.65663,5494
Hörbranz,AT,47.55,9.75,6346
Hollabrunn,AT,48.55,16.08333,6882
Hohenems,AT,47.36121,9.68694,16317
Höchst,AT,47.45934,9.6405,7995
Himberg,AT,48.08333,16.43333,5331
Hietzing,AT,48.18623,16.2965,54265
Hernals,AT,48.22544,16.30871,57546
Hart,AT,48.26526,14.25691,5610
Hard,AT,47.48306,9.68306,13495
Hallein,AT,47.68333,13.1,7208
Hainburg an der Donau,AT,48.14627,16.94504,6570
Haid,AT,48.20477,14.25107,7424
Hafendorf,AT,47.45653,15.31837,6506
Haag,AT,48.27063,14.26875,5273
Guntramsdorf,AT,48.04687,16.31384,9179
Groß-Enzersdorf,AT,48.20278,16.55083,6616
Graz,AT,47.06733,15.44197,303270
Gratkorn,AT,47.13333,15.35,6806
Götzis,AT,47.33306,9.63306,11473
Gösting,AT,47.09788,15.39777,11255
Gmunden,AT,47.91839,13.79933,13191
Gleisdorf,AT,47.10559,15.71011,6418
Gerasdorf bei Wien,AT,48.29447,16.46765,9442
Gänserndorf,AT,48.33925,16.72016,11404
Gallneukirchen,AT,48.35363,14.41604,6492
Fürstenfeld,AT,47.05,16.08333,6327
Fünfhaus,AT,48.19596,16.3183,76396
Freistadt,AT,48.51103,14.50453,7397
Floridsdorf,AT,48.25,16.4,162779
Fischamend,AT,48.11843,16.61211,5708
Feldkirch,AT,47.23645,9.59734,33420
Essling,AT,48.21289,16.52442,21200
Enns,AT,48.21346,14.47612,9812
Eisenstadt,AT,47.84565,16.52327,9217
Eggenberg,AT,47.07,15.39871,20511
Ebreichsdorf,AT,47.95579,16.40705,5236
Dornbirn,AT,47.41427,9.74195,49278
Deutschlandsberg,AT,46.81528,15.22222,8429
Deuchendorf,AT,47.46593,15.32172,5507
Brunn am Gebirge,AT,48.10697,16.28466,11864
Bruck an der Mur,AT,47.41667,15.28333,9093
Bruck an der Leitha,AT,48.0242,16.7757,6882
Breitenfurt bei Wien,AT,48.13333,16.15,5853
Bregenz,AT,47.50311,9.7471,29806
Bludenz,AT,47.15476,9.82255,15102
Bischofshofen,AT,47.41667,13.21667,7457
Berndorf,AT,47.94567,16.10973,9064
Bad Vöslau,AT,47.96533,16.21359,7469
Bad Hall,AT,48.03832,14.20773,5296
Baden,AT,48.00543,16.23264,26286
Axams,AT,47.23111,11.27892,5130
Aspern,AT,48.21806,16.48306,50687
Arzl,AT,47.28333,11.43333,11082
Annabichl,AT,46.65,14.31667,11374
Amstetten,AT,48.1229,14.87206,15559
Amras,AT,47.25,11.41667,5771
Altach,AT,47.35438,9.65207,6624
Absam,AT,47.29572,11.50593,7112
Finkenstein am Faaker See,AT,46.56081,13.87115,8406
Attnang-Puchheim,AT,48.00833,13.71667,8908
Auen,AT,46.59963,13.84389,6563
Favoriten,AT,48.16116,16.38233,201882
Frastanz,AT,47.21735,9.62995,6434
Kirchbichl,AT,47.51743,12.09629,5855
Kirchenviertel,AT,47.13124,15.34764,5791
Oberhaid,AT,48.17593,14.01495,5100
Villacher Vorstadt,AT,46.62368,14.28892,8421
Lind,AT,46.62244,13.84715,5252
Villach-Innere Stadt,AT,46.61275,13.84638,8189
Donaustadt,AT,48.2333,16.46002,187007
Jakomini,AT,47.05441,15.44984,32912
Lend,AT,47.08256,15.41589,31147
Geidorf,AT,47.08393,15.444,24767
Sankt Leonhard,AT,47.06924,15.45784,15853
Andritz,AT,47.11387,15.42348,19020
Gries,AT,47.06236,15.42421,29363
Währing,AT,48.22611,16.34484,51402
Landstraße,AT,48.2019,16.38792,98389
Margareten,AT,48.1855,16.35373,54412
Mariahilf,AT,48.19571,16.35215,31381
Neubau,AT,48.20172,16.34715,31521
Josefstadt,AT,48.21243,16.34549,24499
