country_iso2,country_name,airports_total,airports_large,airports_medium,routes_total,routes_mean,local_density_mean,local_density_median,population,surface_km2,airports_per_100k_km2,airports_per_million_people,routes_per_airport,population_density_country
IT,Italy,25,25,0,3345.0,133.8,571.3846618366792,348.32167014065215,58927633,301336.0,8.296386757639313,0.42424918034634107,133.8,195.55457363209175
ES,Spain,22,22,0,4782.0,217.36363636363637,688.2637804404437,304.303741895886,49315949,505992.0,4.347894828376734,0.4461031460633557,217.36363636363637,97.46389073345033
DE,Germany,22,22,0,4026.0,183.0,819.4715553717905,516.074799878144,83491249,357114.0,6.160497768219672,0.26350066939350736,183.0,233.79438778653315
FR,France,17,17,0,3207.0,188.64705882352942,1266.1890331837023,409.2125688322487,66351959,543908.0,3.1255285820396095,0.25620946624951946,188.64705882352942,121.99114372283547
SE,Sweden,12,12,0,705.0,58.75,105.85823922355354,54.499236177026006,10605098,450295.0,2.664919663775969,1.1315312692065647,58.75,23.551445163726
RO,Romania,12,12,0,338.0,28.166666666666668,465.8142630281777,149.45056592983286,19036031,238391.0,5.033747079377997,0.6303835079907151,28.166666666666668,79.8521378743325
FI,Finland,11,11,0,405.0,36.81818181818182,209.38803970052183,51.20052716452615,5650325,338455.0,3.250062785303807,1.9467906713330652,36.81818181818182,16.69446455215612
PL,Poland,11,11,0,719.0,65.36363636363636,539.6898052124461,430.287739072523,37392000,312679.0,3.5179848982502824,0.2941805733846812,65.36363636363636,119.58590119579505
GR,Greece,9,9,0,1290.0,143.33333333333334,242.5281963686075,33.59162426083885,10400720,131990.0,6.818698386241382,0.8653247082894261,143.33333333333334,78.7993029774983
HR,Croatia,6,6,0,399.0,66.5,113.03133128804616,53.64260061132819,3866233,56594.0,10.601830582747287,1.551898191340253,66.5,68.31524543237799
AT,Austria,6,6,0,776.0,129.33333333333334,444.0647002423753,165.74370308799087,9200931,83871.0,7.153843402367922,0.6521079225569674,129.33333333333334,109.70336588332081
DK,Denmark,5,5,0,608.0,121.6,244.20765025769492,105.77768560168995,6011488,43094.0,11.602543277486424,0.8317408268967683,121.6,139.49709936418063
CZ,Czechia,5,5,0,383.0,76.6,340.532805479271,110.79781447867175,10882341,78865.0,6.339948012426299,0.4594599636236358,76.6,137.98695238699042
NL,Netherlands,5,5,0,1136.0,227.2,791.6552253068587,551.3779127350159,18100436,41865.0,11.943150603129105,0.2762364398294052,227.2,432.35246626059956
PT,Portugal,5,5,0,999.0,199.8,559.2044652869212,154.84324469760418,10749635,92090.0,5.42947116950809,0.46513207192616307,199.8,116.72966663047019
IE,Ireland,4,4,0,570.0,142.5,326.4194034921179,111.59588102531177,5458600,70273.0,5.6920865766368305,0.7327886271205071,142.5,77.6770594680745
BG,Bulgaria,4,4,0,178.0,44.5,278.142870942076,195.67298112235346,6437360,110879.0,3.607536143002733,0.6213727366498067,44.5,58.05752216380018
BE,Belgium,3,3,0,801.0,267.0,845.9724391585695,552.0247184237413,11825551,30528.0,9.827044025157234,0.2536879676896239,267.0,387.3673676624738
CY,Cyprus,3,3,0,303.0,101.0,106.2435215097904,76.81046736732921,1442614,9251.0,32.42892660252946,2.0795583572598075,101.0,155.94141173927142
LT,Lithuania,3,3,0,160.0,53.333333333333336,254.8512877436449,257.81267315942625,2894886,65300.0,4.594180704441041,1.0363102381233666,53.333333333333336,44.332098009188364
HU,Hungary,3,3,0,199.0,66.33333333333333,1206.8730369401144,166.63751724839494,9539502,93028.0,3.224835533387797,0.314481825151879,66.33333333333333,102.54441673474653
LV,Latvia,2,2,0,202.0,101.0,256.8783699814996,256.8783699814996,1829000,64559.0,3.097941417927787,1.0934937124111537,101.0,28.33067426694961
EE,Estonia,1,1,0,76.0,76.0,240.42938830306602,240.42938830306602,1369995,45227.0,2.2110686094589513,0.7299296712761725,76.0,30.291529396157163
LU,Luxembourg,1,1,0,140.0,140.0,157.29754124403567,157.29754124403567,681973,2586.0,38.669760247486465,1.466333711158653,140.0,263.71732405259087
MT,Malta,1,1,0,226.0,226.0,234.47572019188442,234.47572019188442,574250,316.0,316.4556962025316,1.74140182847192,226.0,1817.246835443038
SI,Slovenia,1,1,0,66.0,66.0,199.2849070628582,199.2849070628582,2130638,20273.0,4.93266906723228,0.46934298552827836,66.0,105.0973215606965
SK,Slovakia,1,1,0,40.0,40.0,457.43829912445557,457.43829912445557,5413813,49037.0,2.0392764647103205,0.18471269694760423,40.0,110.40261435242776
