country_iso2,country_name,airports_total,airports_large,airports_medium,routes_total,routes_mean,local_density_mean,local_density_median,population,surface_km2,airports_per_100k_km2,airports_per_million_people,routes_per_airport,population_density_country,renewable_energy_pct,renewable_energy_pct_year,protected_areas_pct,protected_areas_pct_year,renewable_score,protected_areas_score,ecological_policy_index,airport_intensity_index,policy_group,airport_intensity_group,profile_label
HR,Croatia,6,6,0,399.0,66.5,113.03133128804616,53.64260061132819,3866233,56594.0,10.601830582747287,1.551898191340253,66.5,68.31524543237799,34.1,2021,38.4,2024,51.72413793103448,80.78175895765473,66.25294844434461,22.886155688635736,politique écologique forte,intensité aéroportuaire intermédiaire,politique écologique forte / intensité aéroportuaire intermédiaire
BG,Bulgaria,4,4,0,178.0,44.5,278.142870942076,195.67298112235346,6437360,110879.0,3.607536143002733,0.6213727366498067,44.5,58.05752216380018,20.4,2021,44.3,2024,23.935091277890468,100.0,61.96754563894523,11.30752408490273,politique écologique forte,intensité aéroportuaire faible,politique écologique forte / intensité aéroportuaire faible
SI,Slovenia,1,1,0,66.0,66.0,199.2849070628582,199.2849070628582,2130638,20273.0,4.93266906723228,0.46934298552827836,66.0,105.0973215606965,23.4,2021,40.5,2024,30.02028397565923,87.62214983713356,58.8212169063964,9.95853846477168,politique écologique forte,intensité aéroportuaire faible,politique écologique forte / intensité aéroportuaire faible
AT,Austria,6,6,0,776.0,129.33333333333334,444.0647002423753,165.74370308799087,9200931,83871.0,7.153843402367922,0.6521079225569674,129.33333333333334,109.70336588332081,36.0,2021,29.6,2024,55.57809330628803,52.11726384364822,53.84767857496813,24.449863994296557,politique écologique forte,intensité aéroportuaire intermédiaire,politique écologique forte / intensité aéroportuaire intermédiaire
SE,Sweden,12,12,0,705.0,58.75,105.85823922355354,54.499236177026006,10605098,450295.0,2.664919663775969,1.1315312692065647,58.75,23.551445163726,57.9,2021,15.5,2024,100.0,6.188925081433227,53.09446254071661,15.743099884434567,politique écologique forte,intensité aéroportuaire faible,politique écologique forte / intensité aéroportuaire faible
LU,Luxembourg,1,1,0,140.0,140.0,157.29754124403567,157.29754124403567,681973,2586.0,38.669760247486465,1.466333711158653,140.0,263.71732405259087,20.5,2021,38.7,2024,24.13793103448276,81.75895765472315,52.94844434460296,32.636383681499304,politique écologique forte,intensité aéroportuaire forte,politique écologique forte / intensité aéroportuaire forte
DE,Germany,22,22,0,4026.0,183.0,819.4715553717905,516.074799878144,83491249,357114.0,6.160497768219672,0.26350066939350736,183.0,233.79438778653315,17.6,2021,39.3,2024,18.25557809330629,83.71335504885992,50.98446657108311,32.94966229334937,politique écologique forte,intensité aéroportuaire forte,politique écologique forte / intensité aéroportuaire forte
PL,Poland,11,11,0,719.0,65.36363636363636,539.6898052124461,430.287739072523,37392000,312679.0,3.5179848982502824,0.2941805733846812,65.36363636363636,119.58590119579505,15.2,2021,39.6,2024,13.387423935091276,84.69055374592836,49.038988840509816,14.802624856424275,politique écologique forte,intensité aéroportuaire faible,politique écologique forte / intensité aéroportuaire faible
SK,Slovakia,1,1,0,40.0,40.0,457.43829912445557,457.43829912445557,5413813,49037.0,2.0392764647103205,0.18471269694760423,40.0,110.40261435242776,17.9,2021,37.5,2024,18.86409736308316,77.85016286644951,48.357130114766335,8.813656476360977,politique écologique forte,intensité aéroportuaire faible,politique écologique forte / intensité aéroportuaire faible
GR,Greece,9,9,0,1290.0,143.33333333333334,242.5281963686075,33.59162426083885,10400720,131990.0,6.818698386241382,0.8653247082894261,143.33333333333334,78.7993029774983,21.5,2021,35.0,2024,26.16632860040568,69.70684039087949,47.936584495642585,24.359567492549488,politique écologique intermédiaire,intensité aéroportuaire intermédiaire,politique écologique intermédiaire / intensité aéroportuaire intermédiaire
